From/To	Kuwaiti Dinar	Bahraini Dinar	Omani Rial	British Pound	Euro	Swiss Franc	Canadian Dollar	Bruneian Dollar	Singapore Dollar	Libyan Dinar	Australian Dollar	New Zealand Dollar	Bulgarian Lev	Israeli Shekel	Qatari Riyal	Emirati Dirham	Saudi Arabian Riyal	Polish Zloty	Romanian New Leu	Malaysian Ringgit	Brazilian Real	Danish Krone	Croatian Kuna	Trinidadian Dollar	Turkish Lira	Chinese Yuan Renminbi	Hong Kong Dollar	Swedish Krona	Norwegian Krone	Venezuelan Bolivar	Botswana Pula	South African Rand	Mexican Peso	Czech Koruna	Taiwan New Dollar	Thai Baht	Mauritian Rupee	Philippine Peso	Russian Ruble	Argentine Peso	Indian Rupee	Japanese Yen	Nepalese Rupee	Icelandic Krona	Pakistani Rupee	Sri Lankan Rupee	Hungarian Forint	Kazakhstani Tenge	Chilean Peso	South Korean Won	Colombian Peso	Indonesian Rupiah	Iranian Rial	USD
Botswana Pula	0.026155516	0.032556419	0.032934295	0.066935278	0.073503989	0.079538501	0.114665971	0.118014997	0.119653019	0.118452546	0.118869036	0.127432602	0.145582739	0.290940734	0.311437924	0.315925478	0.324355451	0.324996957	0.360536936	0.366237886	0.433120854	0.546370357	0.552884842	0.585525084	0.584639611	0.596686709	0.66564916	0.761884096	0.777038829	0.861146161	1	1.416739267	1.924183388	1.963178923	2.497974017	2.710833097	3.439684402	4.193367682	6.122091572	6.211836092	6.335480573	9.173173194	10.24309665	11.77932321	14.44251976	16.09370575	25.92179038	35.24384788	66.59230916	103.4676629	311.1976253	1254.776726	17412.34538	0.082420359
South African Rand	0.01856374	0.022660879	0.023150248	0.046883586	0.051588706	0.056433351	0.081236002	0.083561928	0.083561233	0.084459994	0.084209672	0.090145803	0.101366149	0.206375644	0.220787004	0.221538585	0.224487734	0.231817132	0.248740695	0.255070993	0.304974911	0.388539814	0.390000333	0.405303388	0.415340608	0.419809872	0.463260027	0.533109208	0.550865955	0.59680661	0.692973002	1	1.341253415	1.365341975	1.776160185	1.882493961	2.405236304	2.974023628	4.308410422	4.280496979	4.48184311	6.470708422	7.283227924	8.117980513	10.1446086	11.06148575	17.99106735	24.92082837	46.33614736	71.9523143	215.970406	872.0143744	12274.98448	0.058940679
Mexican Peso	0.013627884	0.016671412	0.017017308	0.03463616	0.03850438	0.041450806	0.060072576	0.060997051	0.061818611	0.061764323	0.062758717	0.067355735	0.074679722	0.153534188	0.162587876	0.163872629	0.165255466	0.169078194	0.187501637	0.188330535	0.225978026	0.287049603	0.288409901	0.301670686	0.303875755	0.31120306	0.345890571	0.391340994	0.408507896	0.448027435	0.512866766	0.72955404	1	1.023473752	1.302917772	1.418964994	1.767339519	2.201589689	3.172704919	3.210018765	3.322794618	4.81218439	5.315048236	6.007501065	7.451303053	8.28881443	13.24099173	18.51686534	34.29125678	53.56454206	162.2863336	651.9177897	8980.795136	0.044115734
Czech Koruna	0.013377421	0.016456209	0.016728908	0.034200794	0.037160106	0.040296922	0.058311965	0.060189948	0.060677739	0.060706342	0.061334066	0.065258312	0.073947673	0.149996249	0.158562159	0.15818077	0.163217409	0.167455435	0.181774221	0.183126801	0.222364706	0.27716415	0.283019767	0.292801193	0.297269448	0.302398215	0.337237638	0.38181953	0.39439076	0.434645505	0.499115837	0.720040411	0.963954917	1	1.27341045	1.362047854	1.743943938	2.153513471	3.105149019	3.093156675	3.219321926	4.669461783	5.189832708	5.910911606	7.300586224	7.990200539	12.9592587	18.04181979	33.5428279	51.67441814	157.8266402	640.9522682	8868.24354	0.043462681
Taiwan New Dollar	0.010430306	0.012680773	0.012831019	0.026224854	0.029022494	0.031013062	0.045479052	0.046158556	0.046659238	0.046632255	0.046780338	0.050974773	0.057210019	0.115610577	0.12261866	0.122977268	0.126318519	0.127650024	0.141225409	0.142960079	0.172369159	0.217337294	0.218727397	0.228382847	0.228656846	0.23762152	0.262845367	0.29827428	0.309170621	0.338286943	0.386163554	0.550311736	0.748327719	0.766318294	1	1.067583976	1.347471597	1.647893314	2.380970683	2.417948774	2.501981923	3.587559229	4.076049686	4.627318955	5.624285381	6.29708701	10.10245874	13.89391126	26.11751958	40.42900802	123.1861401	488.5400589	6883.560979	0.033355497
Thai Baht	0.009656038	0.01188247	0.012024905	0.024638202	0.027188154	0.028876669	0.042120909	0.043309394	0.043042682	0.043579314	0.043938159	0.046923222	0.052661098	0.108034396	0.113554687	0.115797641	0.117740609	0.120544955	0.131897678	0.133579699	0.16070142	0.200112728	0.201541179	0.211038561	0.214178267	0.217433668	0.242212928	0.278898259	0.287029112	0.313987101	0.363653621	0.510691046	0.700763378	0.708411564	0.924024253	1	1.252710948	1.534667283	2.244168958	2.257039887	2.33303674	3.364001075	3.754656646	4.261532201	5.295221345	5.84626821	9.397441726	12.85935235	24.02098514	37.28744906	114.2334948	461.96417	6423.346965	0.031108776
Mauritian Rupee	0.007544578	0.009254303	0.009542897	0.019435703	0.021244768	0.023013271	0.033441527	0.034399361	0.034549397	0.034166505	0.034473467	0.037215093	0.041571189	0.085417963	0.090370253	0.091757454	0.091984802	0.093699928	0.102948791	0.106193742	0.126520123	0.158408135	0.161677351	0.166275339	0.169290253	0.172002194	0.191605655	0.22054805	0.225730235	0.247516512	0.283709489	0.408275882	0.547882061	0.559704256	0.732203078	0.78839523	1	1.229334134	1.747061986	1.76101898	1.843436818	2.661068308	2.990715176	3.366941213	4.154215408	4.569593347	7.453873158	10.13841146	19.1848559	29.52881275	90.31035082	359.0074372	5007.714298	0.02458082
Philippine Peso	0.006215945	0.007539848	0.007677273	0.015916378	0.017334079	0.018495716	0.027077557	0.027976338	0.027605406	0.027760139	0.028114377	0.030021865	0.033877246	0.0681351	0.073249445	0.074000798	0.074498706	0.076905123	0.083903018	0.085513367	0.102144419	0.129167125	0.131615487	0.136795027	0.13809028	0.139812348	0.156712654	0.17895962	0.181556015	0.199495479	0.233696738	0.327591008	0.447987832	0.460427609	0.586592584	0.638897601	0.796172048	1	1.422054121	1.425946897	1.487951646	2.171389872	2.391318486	2.723396709	3.391152378	3.70624558	6.082707192	8.312479055	15.38340277	24.01443877	72.04970719	296.5183128	4058.415789	0.019507236
Russian Ruble	0.004277823	0.005246383	0.005390726	0.01095489	0.01205305	0.01281192	0.018616838	0.019273787	0.019355932	0.01941362	0.019543718	0.02086745	0.023594939	0.047328886	0.051105555	0.051453534	0.052665256	0.052852992	0.058541734	0.058630689	0.071399796	0.089085332	0.08995845	0.094175544	0.094435629	0.09787118	0.107310963	0.123062068	0.128054402	0.139088458	0.16186878	0.22845191	0.308813649	0.316246718	0.407069536	0.441666939	0.557473292	0.693622706	1	1.008463202	1.044224841	1.488958291	1.663483439	1.900854871	2.34710503	2.570136204	4.20024884	5.725761954	10.70061265	16.68150565	50.30713298	202.2669228	2858.228118	0.013468877
Argentine Peso	0.00426535	0.005231574	0.005281841	0.010940409	0.011838912	0.012888009	0.018600847	0.019054813	0.019005448	0.01917931	0.019405269	0.020486839	0.023394133	0.047291636	0.050015152	0.050581768	0.052086935	0.053057437	0.058128949	0.058418818	0.069913547	0.089149092	0.089669858	0.093143719	0.093835867	0.095880702	0.107490286	0.121696453	0.126986472	0.136698698	0.15940192	0.225798195	0.304083255	0.311658646	0.405113562	0.437472446	0.552039879	0.687067999	0.990685766	1	1.021453043	1.466045767	1.651230607	1.888479409	2.307588021	2.587814827	4.154187785	5.737190347	10.55357852	16.6183013	50.21873999	202.0904406	2829.690701	0.013740438
Indian Rupee	0.004057871	0.004957674	0.005133727	0.01046421	0.011525542	0.012245906	0.017911473	0.018310812	0.018482641	0.018388174	0.018438863	0.020086914	0.022645542	0.045200411	0.048351354	0.048488716	0.050222512	0.051013706	0.054978056	0.056200525	0.067050747	0.085739862	0.086219712	0.089702566	0.090662127	0.092495766	0.102498131	0.117724722	0.120497024	0.131359936	0.152691531	0.217975823	0.296902728	0.302633892	0.386534901	0.415744151	0.529128234	0.654862878	0.936145442	0.94912871	1	1.41632376	1.589845733	1.806248263	2.205512884	2.486439629	4.007605838	5.450397307	10.28456631	15.90672421	47.7064084	193.697484	2706.117221	0.013303337
Japanese Yen	0.002837867	0.00347794	0.003583246	0.007232077	0.008057563	0.008562397	0.012456579	0.012695104	0.012853791	0.012804345	0.012815302	0.013883435	0.015721809	0.031289795	0.03386433	0.033885244	0.034455454	0.035597795	0.038792549	0.038887559	0.047373678	0.059557766	0.060090238	0.062814391	0.06314192	0.064593064	0.072264666	0.081077965	0.083848855	0.091336648	0.106067883	0.15249111	0.207390866	0.211932674	0.272472607	0.291466605	0.372407018	0.451714463	0.658404386	0.663565587	0.694293647	1	1.101478199	1.267295527	1.55553263	1.702650352	2.774099015	3.82776337	7.136189863	11.11500888	33.39811118	134.7562221	1878.211245	0.009189607
Nepalese Rupee	0.002531136	0.00310219	0.003181449	0.006504407	0.007096336	0.007694617	0.01110449	0.011518325	0.011448692	0.011470813	0.011649044	0.012263692	0.014069939	0.028194316	0.029788465	0.030211041	0.03090232	0.031768307	0.034697938	0.035005058	0.041845933	0.052674061	0.053189169	0.055891732	0.056757484	0.057482668	0.064235514	0.072428437	0.07513675	0.082405142	0.094655313	0.13693705	0.182353336	0.186884673	0.240687591	0.258677076	0.330688308	0.406556686	0.583945328	0.598543142	0.617347429	0.885162832	1	1.125542375	1.398473531	1.538967328	2.50464355	3.413346938	6.315382717	9.820609652	30.11591643	119.7874164	1692.005532	0.007987897
Icelandic Krona	0.002218441	0.002747179	0.002807955	0.005729183	0.006213159	0.0067797	0.00970685	0.009957535	0.010025217	0.010042715	0.010230321	0.010896418	0.012159733	0.025055185	0.026646158	0.026749903	0.027316798	0.027638041	0.030368515	0.030789794	0.03700303	0.046371646	0.046911831	0.049293844	0.049633014	0.051116919	0.056126447	0.064995804	0.066536764	0.073056038	0.084560051	0.119541323	0.160183217	0.166988277	0.212987965	0.22868127	0.292532662	0.357093488	0.520081995	0.519286372	0.543146935	0.771983774	0.872197705	1	1.207202549	1.343455496	2.20014272	3.029585145	5.535978313	8.716458025	26.1012872	106.3717321	1469.995452	0.007235386
Pakistani Rupee	0.001796682	0.002216165	0.002249644	0.004672201	0.00513763	0.005498129	0.007858057	0.008135416	0.008163416	0.008130645	0.008184595	0.008833076	0.010029484	0.020074813	0.021425203	0.021683973	0.022214362	0.022436565	0.024799096	0.024878163	0.030241842	0.037883188	0.038185109	0.039857859	0.040089753	0.040946979	0.045678597	0.052624413	0.054122328	0.059332193	0.06838621	0.097752368	0.131567884	0.133585777	0.172914727	0.185368836	0.236153735	0.290260829	0.423529984	0.420937444	0.440204288	0.634070074	0.707315049	0.801978357	1	1.105622101	1.76586193	2.455340736	4.580886215	7.022094888	21.32542994	86.82363594	1204.768057	0.00582273
Sri Lankan Rupee	0.001643644	0.002015114	0.002032179	0.004179651	0.004595041	0.00498099	0.007089691	0.007318545	0.007427976	0.007385568	0.007451307	0.007975426	0.008935391	0.018052566	0.019362931	0.019638667	0.020016079	0.020244807	0.02248013	0.022627068	0.027027483	0.034573261	0.034298488	0.036147859	0.036757436	0.037561571	0.041622789	0.04716158	0.04824527	0.053435637	0.061177067	0.086856081	0.119429312	0.122296279	0.157085729	0.169724621	0.213996767	0.265262991	0.379979141	0.385229206	0.399062596	0.566840218	0.633448999	0.723357997	0.89663888	1	1.59262397	2.194711898	4.067337794	6.330177104	19.36468439	77.7344397	1081.96331	0.005206553
Hungarian Forint	0.001010188	0.001235853	0.001264568	0.002602793	0.002831853	0.003057275	0.004406767	0.004539521	0.004581517	0.004626463	0.004653631	0.004931084	0.005550176	0.011187788	0.012030752	0.01212789	0.012414628	0.012630014	0.013879044	0.013950345	0.016749212	0.021114915	0.021235859	0.022157182	0.022721234	0.02316589	0.025778787	0.028946143	0.029765769	0.032566778	0.038337112	0.054668262	0.073813423	0.074463802	0.097450184	0.104222961	0.131813573	0.163488747	0.233031134	0.237712692	0.245992927	0.354207587	0.397471048	0.446967474	0.549428013	0.613816058	1	1.349723709	2.507589472	3.922841296	11.87314144	47.90358397	663.2684033	0.003192676
Kazakhstani Tenge	7.35E-04	9.06E-04	9.21E-04	0.001886976	0.002087793	0.002245433	0.003211764	0.003309495	0.003286073	0.003351288	0.003335233	0.003626295	0.004059388	0.008206939	0.008797165	0.008794617	0.009068106	0.009174912	0.009954387	0.010108249	0.012169559	0.015503879	0.015678208	0.016260729	0.01635376	0.016667515	0.018692701	0.021350014	0.021984436	0.023882185	0.027633688	0.039733699	0.053691793	0.054911395	0.070557928	0.075251473	0.096429791	0.118461926	0.170003181	0.172223615	0.179124839	0.258963286	0.288006463	0.328161471	0.402597914	0.446819306	0.719962245	1	1.837320592	2.860033211	8.602481546	35.21248195	487.8907707	0.002359421
Chilean Peso	3.93E-04	4.82E-04	4.98E-04	0.001011624	0.001102644	0.001198294	0.001727126	0.001798916	0.001788707	0.001783232	0.001798249	0.001935784	0.002155333	0.004382012	0.004689252	0.004688728	0.004799121	0.004909541	0.005331224	0.005461707	0.006618197	0.00819762	0.008389437	0.008686079	0.008761216	0.008948291	0.00991746	0.01141902	0.011652794	0.012783585	0.014905115	0.021151548	0.028450498	0.02907769	0.037790828	0.040804916	0.051456732	0.063135101	0.091579532	0.092698645	0.096739185	0.137784646	0.153611359	0.174296032	0.215530266	0.239079431	0.387633828	0.528538838	1	1.539558896	4.638565591	18.93386582	263.8436442	0.001273394
South Korean Won	2.54E-04	3.12E-04	3.18E-04	6.51E-04	7.13E-04	7.63E-04	0.001117721	0.001135434	0.00113578	0.001155765	0.001148183	0.00125139	0.001400687	0.002808446	0.003010909	0.003067849	0.003122744	0.003173408	0.003464459	0.003511579	0.004230804	0.005276136	0.00537077	0.005548859	0.005689569	0.0058112	0.006413842	0.007286648	0.007595535	0.008260844	0.009601661	0.01357095	0.018254322	0.018867508	0.024114271	0.025974561	0.033134213	0.041066094	0.058562739	0.059670322	0.062265079	0.088798172	0.099874552	0.113222941	0.138836267	0.154408239	0.248131929	0.34090923	0.641832876	1	3.024638579	12.21081022	169.2924408	7.99E-04
Colombian Peso	8.45E-05	1.03E-04	1.04E-04	2.15E-04	2.35E-04	2.56E-04	3.69E-04	3.77E-04	3.75E-04	3.82E-04	3.84E-04	4.07E-04	4.59E-04	9.29E-04	9.87E-04	0.001003671	0.001020351	0.001045265	0.001132455	0.001157111	0.001384379	0.00176531	0.001771392	0.001857372	0.001873109	0.001901392	0.002108712	0.002438727	0.002498033	0.002742595	0.003140557	0.004512201	0.006116711	0.00620332	0.008108408	0.008609945	0.010892628	0.013512225	0.019609471	0.019719618	0.0203813	0.029272694	0.032467185	0.037443302	0.045561063	0.050811227	0.081301843	0.11330935	0.210358042	0.324867603	1	4.02500851	55.72820111	2.63E-04
Indonesian Rupiah	2.09E-05	2.53E-05	2.59E-05	5.35E-05	5.87E-05	6.27E-05	9.05E-05	9.34E-05	9.29E-05	9.38E-05	9.52E-05	1.01E-04	1.14E-04	2.32E-04	2.46E-04	2.47E-04	2.54E-04	2.58E-04	2.82E-04	2.86E-04	3.48E-04	4.34E-04	4.36E-04	4.56E-04	4.65E-04	4.70E-04	5.29E-04	5.95E-04	6.14E-04	6.81E-04	7.73E-04	0.001118785	0.001493572	0.001555579	0.002000908	0.002151142	0.002686716	0.00332286	0.004789944	0.004871114	0.005048319	0.007241192	0.008147939	0.009236841	0.011269608	0.012685648	0.020376681	0.028060057	0.052512145	0.081244793	0.247110223	1	13.84266745	6.56E-05
Iranian Rial	1.50E-06	1.82E-06	1.85E-06	3.81E-06	4.22E-06	4.50E-06	6.56E-06	6.71E-06	6.67E-06	6.77E-06	6.83E-06	7.23E-06	8.23E-06	1.66E-05	1.78E-05	1.77E-05	1.83E-05	1.88E-05	2.01E-05	2.07E-05	2.49E-05	3.14E-05	3.18E-05	3.29E-05	3.31E-05	3.42E-05	3.76E-05	4.29E-05	4.47E-05	4.84E-05	5.58E-05	7.95E-05	1.09E-04	1.12E-04	1.44E-04	1.53E-04	1.93E-04	2.41E-04	3.49E-04	3.51E-04	3.60E-04	5.19E-04	5.79E-04	6.63E-04	8.20E-04	9.05E-04	0.001472868	0.001994924	0.003766761	0.005855537	0.017638069	0.071739927	1	4.91E-06
USD	0.306859	0.376	0.3845	0.785824	0.863744	0.92926	1.340709	1.384036	1.384036	1.391679	1.399751	1.50011	1.689337	3.41983	3.64	3.6725	3.75	3.819105	4.176897	4.250934	5.098128	6.428258	6.498288	6.761225	6.849881	7.000243	7.752142	8.860053	9.131606	9.9875	11.541719	16.458671	22.265196	22.797157	29.406916	31.600253	40.023897	49.338157	71.118397	71.773598	74.579725	107.193994	119.886909	136.308291	167.836295	185.758394	300.712829	413.232748	769.030721	1196.25183	3625.260128	14638.84475	203430	1
