From/To	Kuwaiti Dinar	Bahraini Dinar	Omani Rial	British Pound	Euro	Swiss Franc	Canadian Dollar	Bruneian Dollar	Singapore Dollar	Libyan Dinar	Australian Dollar	New Zealand Dollar	Bulgarian Lev	Israeli Shekel	Qatari Riyal	Emirati Dirham	Saudi Arabian Riyal	Polish Zloty	Romanian New Leu	Malaysian Ringgit	Brazilian Real	Danish Krone	Croatian Kuna	Trinidadian Dollar	Turkish Lira	Chinese Yuan Renminbi	Hong Kong Dollar	Swedish Krona	Norwegian Krone	Venezuelan Bolivar	Botswana Pula	South African Rand	Mexican Peso	Czech Koruna	Taiwan New Dollar	Thai Baht	Mauritian Rupee	Philippine Peso	Russian Ruble	Argentine Peso	Indian Rupee	Japanese Yen	Nepalese Rupee	Icelandic Krona	Pakistani Rupee	Sri Lankan Rupee	Hungarian Forint	Kazakhstani Tenge	Chilean Peso	South Korean Won	Colombian Peso	Indonesian Rupiah	Iranian Rial	USD
Australian Dollar	0.216088994	0.264314831	0.274639455	0.558702984	0.613345166	0.661576156	0.945933224	0.981451176	0.974976211	0.976881366	1	1.054753611	1.187289496	2.400781446	2.591261626	2.586685799	2.641181922	2.68189868	2.959892892	2.983540902	3.60472986	4.515602022	4.605200109	4.768811167	4.892086728	4.999921635	5.493026145	6.260542882	6.435675429	7.069221726	8.240749528	11.54064489	15.78145019	16.24189559	20.89275656	22.56721935	28.53377192	35.18785398	50.65133462	50.58271855	52.77985379	76.20955103	84.48147425	96.24864504	119.0880094	130.1762523	213.4116619	292.5656631	542.0168951	846.6511743	2547.527189	10386.13892	144999.1751	0.690579055
New Zealand Dollar	0.200599771	0.249499183	0.25262343	0.519961862	0.573958922	0.612492356	0.891105104	0.906200853	0.915939403	0.915604222	0.925950992	1	1.107496737	2.263208331	2.394519351	2.399502135	2.464535597	2.496340853	2.766698122	2.813479442	3.350887727	4.264806297	4.323982189	4.480065343	4.539552646	4.650562366	5.165777975	5.804137082	6.069015763	6.622082206	7.687922746	10.91682062	14.80611365	15.05503183	19.49604386	21.00537917	26.23608697	32.64286905	46.98559523	47.63100427	48.95710698	71.29472137	78.84196218	90.59639742	111.4729363	122.5497843	197.1778367	272.9594515	506.3543855	790.8287913	2390.82633	9684.603795	134580.8069	0.645501821
Bulgarian Lev	0.178505716	0.219059065	0.2274664	0.456996689	0.510710666	0.540942005	0.792080305	0.8125499	0.804777842	0.823258034	0.826792633	0.877351261	1	2.000737872	2.133922153	2.132812727	2.185596516	2.223867451	2.469519154	2.484457314	3.001466645	3.732155815	3.837336976	3.965710078	4.031727582	4.117699749	4.548408825	5.195320075	5.405377698	5.862271421	6.712714733	9.6366849	13.13170754	13.35288505	17.0780271	18.55216443	23.54292611	28.89395395	41.64519652	42.47711988	43.80039992	63.29736086	69.8610095	79.31533495	97.47604975	107.914489	175.3200077	242.8791668	452.3768853	696.6148432	2137.91211	8550.831138	119202.1115	0.564441957
Israeli Shekel	0.088556673	0.107889558	0.111125792	0.226950441	0.249239929	0.268805852	0.390909399	0.402165951	0.404159862	0.406848557	0.401259647	0.438334631	0.486091945	1	1.053118068	1.066724229	1.096194975	1.105834064	1.21961493	1.229405344	1.470452062	1.872126913	1.870640169	1.947992243	1.998526153	2.007525362	2.263967332	2.54516307	2.617828381	2.914423471	3.319658613	4.807506352	6.385872725	6.607605031	8.448715593	9.19355225	11.56333437	14.40501059	20.41840358	20.57232071	21.4059129	30.94302966	34.80067781	39.37168767	48.77892081	53.26825506	86.73206165	120.4726359	222.9774785	343.082255	1056.90987	4237.107963	59259.84063	0.283661848
Qatari Riyal	0.083959209	0.102098209	0.104070369	0.213751909	0.236183504	0.255237147	0.363187757	0.373763441	0.376460809	0.377590977	0.379721893	0.409533824	0.455687677	0.922910197	1	0.99871551	1.010054196	1.034442122	1.13739322	1.152323676	1.397584025	1.764129508	1.761504979	1.833843124	1.874015297	1.908355984	2.118169917	2.398262297	2.460731047	2.720202762	3.118600398	4.500467164	6.105724375	6.1569578	7.973506626	8.549993164	10.9462788	13.30391406	19.47816442	19.4244925	20.1180851	29.19842413	32.60446294	37.0952372	45.55938512	50.08216594	82.15083016	112.4167595	209.6393915	325.9041311	994.4906055	3941.731201	54792.81569	0.264777479
Emirati Dirham	0.082423902	0.101159597	0.102884544	0.210787789	0.234832525	0.250591165	0.359842914	0.37045621	0.372508333	0.376932896	0.377735725	0.401001885	0.453988306	0.928125485	0.978998801	1	1.004237379	1.026604009	1.115880114	1.151710588	1.383213503	1.742310392	1.769127573	1.812057599	1.840405064	1.878546374	2.106319184	2.368615228	2.46307342	2.695599588	3.081407832	4.424041938	5.942132069	6.113715217	7.937581952	8.581338345	10.80513644	13.30864597	19.33648881	19.46307759	20.23260646	28.85991295	32.2479656	36.57539643	44.88293381	49.92896209	81.61288409	112.3641956	207.4705036	325.6596478	972.6283382	3919.694062	54752.52883	0.265216993
Saudi Arabian Riyal	0.081472734	0.098799998	0.101676712	0.208720579	0.229572335	0.244255406	0.350449852	0.362354233	0.367004774	0.369608951	0.371289222	0.400002522	0.443480757	0.901423078	0.952127297	0.976965207	1	1.009823918	1.110661288	1.127437581	1.336765481	1.698475527	1.700745446	1.780669608	1.809424949	1.843059191	2.049130212	2.326607324	2.394490034	2.624678603	3.041444346	4.368316974	5.860836575	5.984872502	7.726034731	8.325287502	10.61478777	12.94720451	18.77972218	19.13934589	19.51011267	28.53039946	31.5396384	35.7799634	44.16797084	49.45524591	79.94394528	109.9760456	201.868209	317.5483071	961.511684	3854.136156	53452.86242	0.264822474
Polish Zloty	0.079507259	0.09655837	0.100528805	0.203879448	0.224317769	0.240379693	0.346318428	0.359532326	0.360640704	0.363448097	0.361588007	0.388513407	0.440630576	0.891735528	0.948594633	0.959866051	0.962919514	1	1.088089142	1.105391387	1.317051792	1.649662186	1.680557544	1.76736572	1.770917956	1.803610618	2.006413346	2.304434225	2.382445645	2.575254317	2.994719882	4.240269232	5.782106674	5.88618668	7.573145351	8.261930386	10.31095074	12.82030618	18.458893	18.47276131	19.31521851	27.96564763	30.88969503	35.21937592	43.81235381	47.90346032	78.17856217	106.2705194	199.2278572	312.2888366	942.5100617	3761.278028	52816.58524	0.252602257
Romanian New Leu	0.072351287	0.088593012	0.092031648	0.184466396	0.20506858	0.221004717	0.316735308	0.330522091	0.329110357	0.332553571	0.33282417	0.352541559	0.400804474	0.813505692	0.865342564	0.868595962	0.885922536	0.910785523	1	1.016634259	1.206267389	1.518046077	1.533517513	1.616408405	1.628849381	1.667949075	1.853965298	2.093818352	2.170190832	2.386362752	2.753096023	3.866600298	5.271320853	5.386447489	6.956484498	7.434458581	9.466436764	11.62152626	16.78262467	16.89378449	17.8480516	25.23705674	28.15693443	32.44913091	40.09764528	43.74591717	71.22515338	97.7273419	181.0675551	286.3554738	855.7325068	3490.220533	48667.11106	0.237783606
Malaysian Ringgit	0.07182532	0.08759752	0.089359721	0.182814198	0.199406937	0.215174129	0.309810112	0.321887401	0.323049189	0.321962776	0.326956761	0.346532983	0.391674445	0.789167426	0.855584561	0.859668397	0.878498493	0.887753197	0.966559572	1	1.188825204	1.510843326	1.51838599	1.588636898	1.596451104	1.632304464	1.799741464	2.071489927	2.106686371	2.337105981	2.672615834	3.83547432	5.160271472	5.317703673	6.86847095	7.426306503	9.292957188	11.52705892	16.6935114	16.59566941	17.27834956	24.76900608	27.77909259	31.74100902	39.3453609	43.64286049	70.28831275	96.59370909	180.8382151	281.0111124	837.3956615	3440.370145	47197.2713	0.225599618
